,station_code,Date,Avg_pm_25_value
0,site_5024,25-08-2020,0
1,site_5024,26-08-2020,0
2,site_5024,27-08-2020,0
3,site_5024,28-08-2020,0
4,site_5024,29-08-2020,0
5,site_5024,30-08-2020,0
6,site_5024,31-08-2020,0
7,site_5024,01-09-2020,0
8,site_5024,02-09-2020,0
9,site_5024,03-09-2020,0
10,site_5024,04-09-2020,0
11,site_5024,05-09-2020,0
12,site_5024,06-09-2020,0
13,site_5024,07-09-2020,0
14,site_5024,08-09-2020,0
15,site_5024,09-09-2020,0
16,site_5024,10-09-2020,0
17,site_5024,11-09-2020,0
18,site_301,25-08-2020,0
19,site_301,26-08-2020,0
20,site_301,27-08-2020,0
21,site_301,28-08-2020,0
22,site_301,29-08-2020,0
23,site_301,30-08-2020,0
24,site_301,31-08-2020,0
25,site_301,01-09-2020,0
26,site_301,02-09-2020,0
27,site_301,03-09-2020,0
28,site_301,04-09-2020,0
29,site_301,05-09-2020,0
30,site_301,06-09-2020,0
31,site_301,07-09-2020,0
32,site_301,08-09-2020,0
33,site_301,09-09-2020,0
34,site_301,10-09-2020,0
35,site_301,11-09-2020,0
36,site_1420,25-08-2020,0
37,site_1420,26-08-2020,0
38,site_1420,27-08-2020,0
39,site_1420,28-08-2020,0
40,site_1420,29-08-2020,0
41,site_1420,30-08-2020,0
42,site_1420,31-08-2020,0
43,site_1420,01-09-2020,0
44,site_1420,02-09-2020,0
45,site_1420,03-09-2020,0
46,site_1420,04-09-2020,0
47,site_1420,05-09-2020,0
48,site_1420,06-09-2020,0
49,site_1420,07-09-2020,0
50,site_1420,08-09-2020,0
51,site_1420,09-09-2020,0
52,site_1420,10-09-2020,0
53,site_1420,11-09-2020,0
54,site_108,25-08-2020,0
55,site_108,26-08-2020,0
56,site_108,27-08-2020,0
57,site_108,28-08-2020,0
58,site_108,29-08-2020,0
59,site_108,30-08-2020,0
60,site_108,31-08-2020,0
61,site_108,01-09-2020,0
62,site_108,02-09-2020,0
63,site_108,03-09-2020,0
64,site_108,04-09-2020,0
65,site_108,05-09-2020,0
66,site_108,06-09-2020,0
67,site_108,07-09-2020,0
68,site_108,08-09-2020,0
69,site_108,09-09-2020,0
70,site_108,10-09-2020,0
71,site_108,11-09-2020,0
72,site_1560,25-08-2020,0
73,site_1560,26-08-2020,0
74,site_1560,27-08-2020,0
75,site_1560,28-08-2020,0
76,site_1560,29-08-2020,0
77,site_1560,30-08-2020,0
78,site_1560,31-08-2020,0
79,site_1560,01-09-2020,0
80,site_1560,02-09-2020,0
81,site_1560,03-09-2020,0
82,site_1560,04-09-2020,0
83,site_1560,05-09-2020,0
84,site_1560,06-09-2020,0
85,site_1560,07-09-2020,0
86,site_1560,08-09-2020,0
87,site_1560,09-09-2020,0
88,site_1560,10-09-2020,0
89,site_1560,11-09-2020,0
90,site_103,25-08-2020,0
91,site_103,26-08-2020,0
92,site_103,27-08-2020,0
93,site_103,28-08-2020,0
94,site_103,29-08-2020,0
95,site_103,30-08-2020,0
96,site_103,31-08-2020,0
97,site_103,01-09-2020,0
98,site_103,02-09-2020,0
99,site_103,03-09-2020,0
100,site_103,04-09-2020,0
101,site_103,05-09-2020,0
102,site_103,06-09-2020,0
103,site_103,07-09-2020,0
104,site_103,08-09-2020,0
105,site_103,09-09-2020,0
106,site_103,10-09-2020,0
107,site_103,11-09-2020,0
108,site_118,25-08-2020,0
109,site_118,26-08-2020,0
110,site_118,27-08-2020,0
111,site_118,28-08-2020,0
112,site_118,29-08-2020,0
113,site_118,30-08-2020,0
114,site_118,31-08-2020,0
115,site_118,01-09-2020,0
116,site_118,02-09-2020,0
117,site_118,03-09-2020,0
118,site_118,04-09-2020,0
119,site_118,05-09-2020,0
120,site_118,06-09-2020,0
121,site_118,07-09-2020,0
122,site_118,08-09-2020,0
123,site_118,09-09-2020,0
124,site_118,10-09-2020,0
125,site_118,11-09-2020,0
126,site_1421,25-08-2020,0
127,site_1421,26-08-2020,0
128,site_1421,27-08-2020,0
129,site_1421,28-08-2020,0
130,site_1421,29-08-2020,0
131,site_1421,30-08-2020,0
132,site_1421,31-08-2020,0
133,site_1421,01-09-2020,0
134,site_1421,02-09-2020,0
135,site_1421,03-09-2020,0
136,site_1421,04-09-2020,0
137,site_1421,05-09-2020,0
138,site_1421,06-09-2020,0
139,site_1421,07-09-2020,0
140,site_1421,08-09-2020,0
141,site_1421,09-09-2020,0
142,site_1421,10-09-2020,0
143,site_1421,11-09-2020,0
144,site_1422,25-08-2020,0
145,site_1422,26-08-2020,0
146,site_1422,27-08-2020,0
147,site_1422,28-08-2020,0
148,site_1422,29-08-2020,0
149,site_1422,30-08-2020,0
150,site_1422,31-08-2020,0
151,site_1422,01-09-2020,0
152,site_1422,02-09-2020,0
153,site_1422,03-09-2020,0
154,site_1422,04-09-2020,0
155,site_1422,05-09-2020,0
156,site_1422,06-09-2020,0
157,site_1422,07-09-2020,0
158,site_1422,08-09-2020,0
159,site_1422,09-09-2020,0
160,site_1422,10-09-2020,0
161,site_1422,11-09-2020,0
162,site_106,25-08-2020,0
163,site_106,26-08-2020,0
164,site_106,27-08-2020,0
165,site_106,28-08-2020,0
166,site_106,29-08-2020,0
167,site_106,30-08-2020,0
168,site_106,31-08-2020,0
169,site_106,01-09-2020,0
170,site_106,02-09-2020,0
171,site_106,03-09-2020,0
172,site_106,04-09-2020,0
173,site_106,05-09-2020,0
174,site_106,06-09-2020,0
175,site_106,07-09-2020,0
176,site_106,08-09-2020,0
177,site_106,09-09-2020,0
178,site_106,10-09-2020,0
179,site_106,11-09-2020,0
180,site_114,25-08-2020,0
181,site_114,26-08-2020,0
182,site_114,27-08-2020,0
183,site_114,28-08-2020,0
184,site_114,29-08-2020,0
185,site_114,30-08-2020,0
186,site_114,31-08-2020,0
187,site_114,01-09-2020,0
188,site_114,02-09-2020,0
189,site_114,03-09-2020,0
190,site_114,04-09-2020,0
191,site_114,05-09-2020,0
192,site_114,06-09-2020,0
193,site_114,07-09-2020,0
194,site_114,08-09-2020,0
195,site_114,09-09-2020,0
196,site_114,10-09-2020,0
197,site_114,11-09-2020,0
198,site_117,25-08-2020,0
199,site_117,26-08-2020,0
200,site_117,27-08-2020,0
201,site_117,28-08-2020,0
202,site_117,29-08-2020,0
203,site_117,30-08-2020,0
204,site_117,31-08-2020,0
205,site_117,01-09-2020,0
206,site_117,02-09-2020,0
207,site_117,03-09-2020,0
208,site_117,04-09-2020,0
209,site_117,05-09-2020,0
210,site_117,06-09-2020,0
211,site_117,07-09-2020,0
212,site_117,08-09-2020,0
213,site_117,09-09-2020,0
214,site_117,10-09-2020,0
215,site_117,11-09-2020,0
216,site_1423,25-08-2020,0
217,site_1423,26-08-2020,0
218,site_1423,27-08-2020,0
219,site_1423,28-08-2020,0
220,site_1423,29-08-2020,0
221,site_1423,30-08-2020,0
222,site_1423,31-08-2020,0
223,site_1423,01-09-2020,0
224,site_1423,02-09-2020,0
225,site_1423,03-09-2020,0
226,site_1423,04-09-2020,0
227,site_1423,05-09-2020,0
228,site_1423,06-09-2020,0
229,site_1423,07-09-2020,0
230,site_1423,08-09-2020,0
231,site_1423,09-09-2020,0
232,site_1423,10-09-2020,0
233,site_1423,11-09-2020,0
234,site_1424,25-08-2020,0
235,site_1424,26-08-2020,0
236,site_1424,27-08-2020,0
237,site_1424,28-08-2020,0
238,site_1424,29-08-2020,0
239,site_1424,30-08-2020,0
240,site_1424,31-08-2020,0
241,site_1424,01-09-2020,0
242,site_1424,02-09-2020,0
243,site_1424,03-09-2020,0
244,site_1424,04-09-2020,0
245,site_1424,05-09-2020,0
246,site_1424,06-09-2020,0
247,site_1424,07-09-2020,0
248,site_1424,08-09-2020,0
249,site_1424,09-09-2020,0
250,site_1424,10-09-2020,0
251,site_1424,11-09-2020,0
252,site_109,25-08-2020,0
253,site_109,26-08-2020,0
254,site_109,27-08-2020,0
255,site_109,28-08-2020,0
256,site_109,29-08-2020,0
257,site_109,30-08-2020,0
258,site_109,31-08-2020,0
259,site_109,01-09-2020,0
260,site_109,02-09-2020,0
261,site_109,03-09-2020,0
262,site_109,04-09-2020,0
263,site_109,05-09-2020,0
264,site_109,06-09-2020,0
265,site_109,07-09-2020,0
266,site_109,08-09-2020,0
267,site_109,09-09-2020,0
268,site_109,10-09-2020,0
269,site_109,11-09-2020,0
270,site_1425,25-08-2020,0
271,site_1425,26-08-2020,0
272,site_1425,27-08-2020,0
273,site_1425,28-08-2020,0
274,site_1425,29-08-2020,0
275,site_1425,30-08-2020,0
276,site_1425,31-08-2020,0
277,site_1425,01-09-2020,0
278,site_1425,02-09-2020,0
279,site_1425,03-09-2020,0
280,site_1425,04-09-2020,0
281,site_1425,05-09-2020,0
282,site_1425,06-09-2020,0
283,site_1425,07-09-2020,0
284,site_1425,08-09-2020,0
285,site_1425,09-09-2020,0
286,site_1425,10-09-2020,0
287,site_1425,11-09-2020,0
288,site_122,25-08-2020,0
289,site_122,26-08-2020,0
290,site_122,27-08-2020,0
291,site_122,28-08-2020,0
292,site_122,29-08-2020,0
293,site_122,30-08-2020,0
294,site_122,31-08-2020,0
295,site_122,01-09-2020,0
296,site_122,02-09-2020,0
297,site_122,03-09-2020,0
298,site_122,04-09-2020,0
299,site_122,05-09-2020,0
300,site_122,06-09-2020,0
301,site_122,07-09-2020,0
302,site_122,08-09-2020,0
303,site_122,09-09-2020,0
304,site_122,10-09-2020,0
305,site_122,11-09-2020,0
306,site_1561,25-08-2020,0
307,site_1561,26-08-2020,0
308,site_1561,27-08-2020,0
309,site_1561,28-08-2020,0
310,site_1561,29-08-2020,0
311,site_1561,30-08-2020,0
312,site_1561,31-08-2020,0
313,site_1561,01-09-2020,0
314,site_1561,02-09-2020,0
315,site_1561,03-09-2020,0
316,site_1561,04-09-2020,0
317,site_1561,05-09-2020,0
318,site_1561,06-09-2020,0
319,site_1561,07-09-2020,0
320,site_1561,08-09-2020,0
321,site_1561,09-09-2020,0
322,site_1561,10-09-2020,0
323,site_1561,11-09-2020,0
324,site_115,25-08-2020,0
325,site_115,26-08-2020,0
326,site_115,27-08-2020,0
327,site_115,28-08-2020,0
328,site_115,29-08-2020,0
329,site_115,30-08-2020,0
330,site_115,31-08-2020,0
331,site_115,01-09-2020,0
332,site_115,02-09-2020,0
333,site_115,03-09-2020,0
334,site_115,04-09-2020,0
335,site_115,05-09-2020,0
336,site_115,06-09-2020,0
337,site_115,07-09-2020,0
338,site_115,08-09-2020,0
339,site_115,09-09-2020,0
340,site_115,10-09-2020,0
341,site_115,11-09-2020,0
342,site_1427,25-08-2020,0
343,site_1427,26-08-2020,0
344,site_1427,27-08-2020,0
345,site_1427,28-08-2020,0
346,site_1427,29-08-2020,0
347,site_1427,30-08-2020,0
348,site_1427,31-08-2020,0
349,site_1427,01-09-2020,0
350,site_1427,02-09-2020,0
351,site_1427,03-09-2020,0
352,site_1427,04-09-2020,0
353,site_1427,05-09-2020,0
354,site_1427,06-09-2020,0
355,site_1427,07-09-2020,0
356,site_1427,08-09-2020,0
357,site_1427,09-09-2020,0
358,site_1427,10-09-2020,0
359,site_1427,11-09-2020,0
360,site_1426,25-08-2020,0
361,site_1426,26-08-2020,0
362,site_1426,27-08-2020,0
363,site_1426,28-08-2020,0
364,site_1426,29-08-2020,0
365,site_1426,30-08-2020,0
366,site_1426,31-08-2020,0
367,site_1426,01-09-2020,0
368,site_1426,02-09-2020,0
369,site_1426,03-09-2020,0
370,site_1426,04-09-2020,0
371,site_1426,05-09-2020,0
372,site_1426,06-09-2020,0
373,site_1426,07-09-2020,0
374,site_1426,08-09-2020,0
375,site_1426,09-09-2020,0
376,site_1426,10-09-2020,0
377,site_1426,11-09-2020,0
378,site_1429,25-08-2020,0
379,site_1429,26-08-2020,0
380,site_1429,27-08-2020,0
381,site_1429,28-08-2020,0
382,site_1429,29-08-2020,0
383,site_1429,30-08-2020,0
384,site_1429,31-08-2020,0
385,site_1429,01-09-2020,0
386,site_1429,02-09-2020,0
387,site_1429,03-09-2020,0
388,site_1429,04-09-2020,0
389,site_1429,05-09-2020,0
390,site_1429,06-09-2020,0
391,site_1429,07-09-2020,0
392,site_1429,08-09-2020,0
393,site_1429,09-09-2020,0
394,site_1429,10-09-2020,0
395,site_1429,11-09-2020,0
396,site_105,25-08-2020,0
397,site_105,26-08-2020,0
398,site_105,27-08-2020,0
399,site_105,28-08-2020,0
400,site_105,29-08-2020,0
401,site_105,30-08-2020,0
402,site_105,31-08-2020,0
403,site_105,01-09-2020,0
404,site_105,02-09-2020,0
405,site_105,03-09-2020,0
406,site_105,04-09-2020,0
407,site_105,05-09-2020,0
408,site_105,06-09-2020,0
409,site_105,07-09-2020,0
410,site_105,08-09-2020,0
411,site_105,09-09-2020,0
412,site_105,10-09-2020,0
413,site_105,11-09-2020,0
414,site_1428,25-08-2020,0
415,site_1428,26-08-2020,0
416,site_1428,27-08-2020,0
417,site_1428,28-08-2020,0
418,site_1428,29-08-2020,0
419,site_1428,30-08-2020,0
420,site_1428,31-08-2020,0
421,site_1428,01-09-2020,0
422,site_1428,02-09-2020,0
423,site_1428,03-09-2020,0
424,site_1428,04-09-2020,0
425,site_1428,05-09-2020,0
426,site_1428,06-09-2020,0
427,site_1428,07-09-2020,0
428,site_1428,08-09-2020,0
429,site_1428,09-09-2020,0
430,site_1428,10-09-2020,0
431,site_1428,11-09-2020,0
432,site_1431,25-08-2020,0
433,site_1431,26-08-2020,0
434,site_1431,27-08-2020,0
435,site_1431,28-08-2020,0
436,site_1431,29-08-2020,0
437,site_1431,30-08-2020,0
438,site_1431,31-08-2020,0
439,site_1431,01-09-2020,0
440,site_1431,02-09-2020,0
441,site_1431,03-09-2020,0
442,site_1431,04-09-2020,0
443,site_1431,05-09-2020,0
444,site_1431,06-09-2020,0
445,site_1431,07-09-2020,0
446,site_1431,08-09-2020,0
447,site_1431,09-09-2020,0
448,site_1431,10-09-2020,0
449,site_1431,11-09-2020,0
450,site_125,25-08-2020,0
451,site_125,26-08-2020,0
452,site_125,27-08-2020,0
453,site_125,28-08-2020,0
454,site_125,29-08-2020,0
455,site_125,30-08-2020,0
456,site_125,31-08-2020,0
457,site_125,01-09-2020,0
458,site_125,02-09-2020,0
459,site_125,03-09-2020,0
460,site_125,04-09-2020,0
461,site_125,05-09-2020,0
462,site_125,06-09-2020,0
463,site_125,07-09-2020,0
464,site_125,08-09-2020,0
465,site_125,09-09-2020,0
466,site_125,10-09-2020,0
467,site_125,11-09-2020,0
468,site_1563,25-08-2020,0
469,site_1563,26-08-2020,0
470,site_1563,27-08-2020,0
471,site_1563,28-08-2020,0
472,site_1563,29-08-2020,0
473,site_1563,30-08-2020,0
474,site_1563,31-08-2020,0
475,site_1563,01-09-2020,0
476,site_1563,02-09-2020,0
477,site_1563,03-09-2020,0
478,site_1563,04-09-2020,0
479,site_1563,05-09-2020,0
480,site_1563,06-09-2020,0
481,site_1563,07-09-2020,0
482,site_1563,08-09-2020,0
483,site_1563,09-09-2020,0
484,site_1563,10-09-2020,0
485,site_1563,11-09-2020,0
486,site_107,25-08-2020,0
487,site_107,26-08-2020,0
488,site_107,27-08-2020,0
489,site_107,28-08-2020,0
490,site_107,29-08-2020,0
491,site_107,30-08-2020,0
492,site_107,31-08-2020,0
493,site_107,01-09-2020,0
494,site_107,02-09-2020,0
495,site_107,03-09-2020,0
496,site_107,04-09-2020,0
497,site_107,05-09-2020,0
498,site_107,06-09-2020,0
499,site_107,07-09-2020,0
500,site_107,08-09-2020,0
501,site_107,09-09-2020,0
502,site_107,10-09-2020,0
503,site_107,11-09-2020,0
504,site_124,25-08-2020,0
505,site_124,26-08-2020,0
506,site_124,27-08-2020,0
507,site_124,28-08-2020,0
508,site_124,29-08-2020,0
509,site_124,30-08-2020,0
510,site_124,31-08-2020,0
511,site_124,01-09-2020,0
512,site_124,02-09-2020,0
513,site_124,03-09-2020,0
514,site_124,04-09-2020,0
515,site_124,05-09-2020,0
516,site_124,06-09-2020,0
517,site_124,07-09-2020,0
518,site_124,08-09-2020,0
519,site_124,09-09-2020,0
520,site_124,10-09-2020,0
521,site_124,11-09-2020,0
522,site_1430,25-08-2020,0
523,site_1430,26-08-2020,0
